BoonName,Rarity,Type,Buff,Debuff
Arcane Echo,Common,Caster,+5 bonus on Knowledge arcana and spellcraft checks,
Puddle Drinker,Common,General,+4 bonus on saves vs poison and disease,-1 penalty against mind affecting effects
Dumb,Epic,Martial,Immune to mind affecting effects,Can only attack nearest enemy
Duelist Grace,Common,Martial,+2 dodge bonus to AC with one handed weapon,-2 penalty on damage with one handed weapons
Lazy,Rare,Caster,+4 deflection bonus to AC after not moving for 1 round,-15 feet base land speed
Bone Deep,Common,General,+4 bonus to CMD,
Slippery,Epic,General,You have a constant Freedom of Movement spell,25% chance to fall prone at the beginning of every round
Opportunist,Common,Martial,+3 bonus on attacks of opportunity and you can make attacks of opportunity flat-footed,-2 penalty on initiative
Focus Crystal,Epic,Caster,+2 DC on the first spell you cast each combat,-1 DC on subsequent spells
Savant,Common,General,+5 bonus on Use Magic Device for scrolls and wands,
Thorn Blood,Rare,General,Deal 1d6 damage to attackers who successfully land a melee attack on you,You take 1 damage every time you successfully land a melee attack
Silver Tongue,Common,Martial,+4 bonus on bluff checks made to feint and you can feint as a move action instead of a standard,
Siege Nerves,Common,Martial,+4 bonus on sunder attempts. You do not provoke on sunder attempts.,-2 penalty on all other CMB checks
Spell Knife,Common,Caster,+2 bonus on touch attack spells,-1 AC penalty
Tunnel Vision,Common,Martial,+2 dodge bonus vs melee attacks,-2 AC penalty vs ranged attacks
Grave Calm,Common,General,+4 bonus on saves vs death effects and to stablize when dying,
Wild Surge,Rare,Caster,+4 bonus on caster level checks to overcome spell resistnace,-1 DC penalty to your spells
Primal Surge,Epic,Martial,Gain a secondary natural attack. +2 bonus on natural attack damage.,-2 penalty on manufactured weapon attack rolls
Rune Chant,Epic,Caster,"+3 bonus damage to an element of your choice. Once per combat as a standard action, shoot a ray that deals 1d8 damage per caster level of your chosen type",-2 damage penalty on all other elemental damage types.
Battle Prayer,Common,Martial,+2 morale bonus on attack rolls while adjacent to ally,-1 attack bonus when fighting alone
Lone Wolf,Common,Martial,+2 bonus on damage while no ally adjacent,-1 AC penalty when adjacent to allies
Pack Guard,Common,General,+2 bonus to AC per adjacent ally up to +4,-1 AC penalty when alone
Early Pacifist,Epic,General,+10 bonus on initiative,You cannot affect enemies in the first round of combat
Second Wind,Rare,Martial,Gain 2 temporary HP per level equal after killing enemy,
Heroic Gamble,Rare,Martial,Reroll one failed attack per combat,"On your next saving throw, roll twice and take the worse result"
Skirmisher,Common,Martial,+2 bonus to AC after moving 10 feet or more,-1 AC penalty if you moved 5 feet or less
Pure Focus,Rare,Caster,Empower a spell once per combat,You are exhausted for the rest of combat.
Relentless Focus,Epic,Caster,Maximize a Spell once per combat,You are staggered for one round and exhausted 
Attack Power,Common,Martial,+4 bonus on damage,-2 penalty on attack rolls
War Drummer,Common,General,+1 bonus on initiative for allies,-1 penalty on initiative for yourself
Focused Study,Common,Caster,+4 bonus on one Knowledge check per encounter,You can only attempt one knowledge check per encounter
Intense Magic,Rare,Caster,+1 spell DC,Ranged Spells have 20ft spell range
Molten Core,Epic,Martial,Gain fire resistance 15 and melee attacks deal +1d6 fire damage,You are permanently fatigued
Frozen Core,Epic,Caster,"Gain cold resistance 15, all elemental spell damage changes to a cold descriptor. All spells are affected as rime spell",You become permanently staggered
Guardian Thread,Common,General,+2 bonus on all saves while above half HP,-1 penalty on saves while below half HP
Desperation Thread,Common,General,+3 bonus on all saves while below half HP,-1 penalty on saves while above half HP
Stubborn,Epic,General,"The first time you drop below 0 HP each combat, become immune to all spell effects and damage.",Die at the end of your next turn
Flurry Code,Rare,Martial,+1 extra attack on full attack once per combat (stacks with other extra attacks),-4 penalty on attacks next round
Cursed Speech,Rare,Caster,"Once per combat, cast a Fireball spell supernatural ability in a 30 foot cone that does 2d6 sonic damage per caster level (DC uses your casting ability modifier)",Take half of the damage that it does to all opponents
Runic Backbone,Common,General,+3 bonus on saves vs paralysis and petrification,-1 penalty on Reflex saves
Fate Thread,Rare,General,"Once per combat, add +3 on one d20 roll.  After the die has been rolled but before the result has been revealed.",-1 on all subsequent d20 rolls
Spell Roulette,Epic,Caster,"As a standard action, cast two random spells from your spellbooks.",
Mirror Reverberation,Epic,Caster,"Once per day, whenever you cast a single-target spell with a saving throw, copy it to a second target within 20 feet","If they both save on all their saving throws, you suffer the full effects of the spell."
Blinkcast Frenzy,Rare,Caster,"After casting a spell, teleport up to 30 feet as a free action","You leave behind a phantom of yourself when you teleport for 1 round. When this phantom takes damage, you take half the damage. When this phantom is the target of any non-damaging effects, they have a 50% chance to effect you "
Paradox Prep,Common,Caster,"At combat start, roll 1d3-1 and gain that value as a bonus to spell DCs","When you cast a spell, there is a 10% chance you forget what spell you were casting. In this case, gain a minor spellblight."
Entropy Crown,Rare,Caster,"Once per combat as a swift action, force all enemies in 20 feet to reroll their next save and take the worse result",You must reroll your next successful save and take the worse result
Blood Quill,Rare,Caster,You may add a metamagic feat to every spell you cast (excluding heighten),You may spend 10 HP per level increase
Magical Lockout,Common,Caster,"Once per combat, cast a spell as if quickened without increasing slot level",You cant cast spells for 2 rounds.
Oathbreaker Charge,Epic,Martial,"Once per combat, charge as a free action and make a full attack at the end of it","Until your next turn ends, all enemies get +4 on attack rolls against you"
Execution Spiral,Common,Martial,"As a full-round action, make an attack roll against every opponent in range",
Piercing shot,Rare,Martial,As a free action you can elect to make all your attacks this pierce through your target and hit one subsequent enemy. The second target take -10 damage.,You take a -4 to attack rolls when you make a piercing shots.
Ricochet Rain,Epic,Martial,Your ranged weapon attacks bounce once to a second target within 15 feet for half damage,"On a natural 1 with a ranged attack, you hit a random ally in range instead. If you are full-round attacking, attack that ally with your remaining ranged attacks."
Bloodrush Engine,Epic,Martial,"Once per combat, gain +2 attacks on a full attack action. (stacks with other extra attacks)",Take a -6 on all attack rolls.
Skullcracker Tempo,Epic,Martial,"Critical threat range of your weapon increases by 2 (stacks with other crit range effects, but is not expanded with keen or improved critical)","On any confirmed critical hit, you take 1d10 untyped damage per weapon critical multiplier"
Kicking Mania,Common,Martial,+8 bonus on combat manuvers,"Whenever your maneuver fails by 5 or more, you provoke attacks of opportunity from every threatened enemy"
Warpath Roulette,Common,Martial,"At the start of combat, roll 1d4 and gain that as a bonus to attack and damage rolls","At the start of combat, roll 1d4-1 and take that as a penalty to AC and all saving throws"
Guardian Roulette,Common,Martial,"At the start of combat, roll 1d4 and gain that as a bonus to AC and all saving throws","At the start of combat, roll 1d4 and take that as a penalty to attack and damage rolls"
Gorums Last Stand,Epic,Martial,You gain a +10 bonus to all attack rolls,"For attack rolls, die rolls 1-5 become a 1 on the die."
Mobile Cover,Rare,General,"Once per day as an move action, create a 5ft iron wall on one side of your square","The wall moves when you move. For example, if you place the wall along the southern side of your square and walk 10 feet to the east, it will also move 10 feet to the east. The wall can be destroyed normally."
Unstable Stalker,Rare,General,Start each combat invisible,"Once your invisibility ends, you are shaken for the rest of combat"
Auto-Counterspell,Rare,Caster,Gain spell resistance = 10 + HD,"Every time your spell resistance prevents a spell from effecting you, lose one of your highest level spell slots"
Calculated,Rare,General,You can never have the flat-footed condition or be flanked,-3 initiative
Hubris,Rare,General,You have a constant Blur spell,"Every time you take physical damage, take 3 more of that type"
Psuedo-Incoporeal,Epic,General,You have a constant Displacement Spell,Attacks and spells you do have a 25% chance of not working
Magic Item Master,Epic,General,"You can cast from scrolls, potions, and wands with a CL equal to your HD. (DC = 10 + 1/2 HD + Con mod)",You can no longer cast spells
Anatomy Expert,Rare,Martial,Gain +1d6 Sneak Attack. This stacks with all other forms of sneak attack or precision damage,You leave yourself more exposed just like your enemies. Creatures have a +2 bonus to confirm critical hits against you
The Specialist,Rare,General,Gain one Ranger's favored enemy and favored terrain,
Divine Blessing,Rare,Martial,Choose 2 level 1 cleric/oracle spells to gain as spells known. They are usable once per day each with a CL = your level and a DC = 11 + Con modifier,-1 on attack rolls
Arcane Blessing,Rare,Martial,Choose 2 level 1 wizard/sorcerer spells to gain as spells known. They are usable once per day each with a CL = your level and a DC = 11 + Con modifier,-1 on attack rolls
Combat Blessing,Rare,Caster,Increase your BAB by one step (Ex. Wizard BAB becomes Cleric BAB. Cleric BAB becomes Fighter BAB),-1 spell per day on each spell level
Tank,Common,General,+5 bonus to your armor bonus,-2 attack rolls and saving throws
Stalwart,Common,General,+5 bonus on saving throws,-4 AC and attack rolls
Striker,Common,General,+5 attack bonus,-2 on AC and saving throws
Ultra Tank,Epic,General,+10 bonus to your armor bonus,-3 attack Rolls and saving throws
Ultra Stalwart,Epic,General,+10 bonus on saving throws,-8 AC and attack rolls
Ultra Striker,Epic,General,+10 bonus on attack rolls,-4 on AC and saving throws
Time Stutter,Epic,General,Gain a second swift/immediate action every turn,You lose track of time.There is a 5% chance that you are dazed each round
Well Rounded,Common,General,"+1 attack rolls, saving throws, AC",-5 max hp
Tough as Nails,Common,General,+15 max hp,-1 saving throws
Gym Bro,Rare,General,+2 to one physical ability score,-2 to one mental ability score
Nerd,Rare,General,+2 to one mental ability score,-2 to one physical ability score
Life Lashes,Common ,Martial,Heal 1 hp on each successful hit,Take 1 damage on each miss
Trade Blows,Rare,Martial,"When a creature takes an AOO against you, you can take an AOO against them (after the original AOO)",You take a -2 AC against AOO's
Sculpter,Common,Caster,You can manipulate your AOE spells to include or exlude 3 additional squares. These squares must be touching the original square area.,-1 DC on this spell
Prying Eyes,Common,General,You can see through the first 15 feet of darkness or fog (including magical versions) as if it were clear,
Unfazed,Rare,General,Treat all conditions with tiers as one step less (Ex. Panicked --> frightened --> shaken --> nothing.... Exhausted -->fatigued-->nothing... etc.),You take a -2 penalty on saving throws against effects that cause these conditions
Competitive Companion,Rare,General,"Your companion (familiar, eidolon, or animal companion) gains a +2 attack, damage, AC, saving throws, and hp per HD",Not being adjacent to your companion imparts the same penalty to them
GMO,Epic,General,You permanently gain the effects of enlarge person or reduce person (your choice),-2 Fortitude saves
Bestiary Reader,Common,Caster,+2 on knowledge checks to identify creatures,
Ol Reliable,Rare,General,You may choose to roll 1d12+5 in place of a d20 roll. Add any other bonuses that you would have normally had on the d20 roll. Usable once per combat,Your next d20 roll uses a d12 instead of a d20
HIt on the Run,Rare,Martial,You may make an attack at any point in a move action,You become fatigued
Careful Hits,Common,Martial,"Your attacks can be manipulated to bypass any DR that limits damage type (bludgeoning, piercing, slashing)",
Manipulative Casts,Common,Caster,Your elemental spells bypass the first 5 points of energy resistance,"On the next elemental spell cast against an affected creature, they are immune to the original energy type"
Powerful Alloys,Common,Martial,"Your weapons count as cold iron/silver for the purpose of bypassing DR. When your BAB reaches +6, they count as adamantine",Your weapons cannot have special magical abilities
Midlife Crisis,Epic,General,Gain 2 levels in a random class,Lose the level you just gained
Two for one,Epic,General,Gain 2 random boons,Remove a random boon you already took
Switchup,Epic,General,Gain the other 2 boons offered for this level,Remove a random boon you already took
Unlucky,Epic,General,If this boon is offered you must take it. You gain a luck stone,You can not benefit from luck bonuses
